event_id,date,artist,venue,min_price,max_price,total_postings,total_tickets,city,state,ticket_vendor,face_value,sold_out,sk_artist_id,days_to_show
9352333,2016-08-07T20:00:00-0400,Janet Jackson,Philips Arena,49.7,2222.22,295,999.0,Atlanta,GA,Ticketmaster,$45.00,0,410449,147
9381625,2016-04-23T19:30:00-0400,Underoath,The Tabernacle Atlanta,72.2,1111.0,22,108.0,Atlanta,GA,Live Nation,NoPriceClass,0,2357960,41
9392053,2016-03-19T20:00:00-0400,Vance Joy,The Tabernacle Atlanta,92.18,325.0,21,77.0,Atlanta,GA,Live Nation,NoPriceClass,0,6148694,6
9408915,2016-06-09T19:30:00-0400,Selena Gomez,Philips Arena,85.04,1500.0,106,359.0,Atlanta,GA,Ticketmaster,$35.00,0,1059348,88
9411812,2016-04-23T20:00:00-0400,Ciara,Center Stage Theatre,55.99,119.0,14,89.0,Atlanta,GA,Ticketmaster,$29.00,0,106251,41
9420620,2016-07-24T19:30:00-0400,5 Seconds of Summer,Lakewood Amphitheatre,34.36,850.0,188,914.0,Atlanta,GA,Live Nation,NoPriceClass,0,5642214,133
9422900,2016-03-19T19:30:00-0400,Legends of Southern Hip Hop,Fox Theatre Atlanta,132.3,1200.0,13,35.0,Atlanta,GA,NoResults,NoResults,NoResults,NoResults,6
9425408,2016-03-17T20:00:00-0400,Joan Baez,Symphony Hall Atlanta,35.92,392.0,24,76.0,Atlanta,GA,Ticketmaster,$29.50,0,222376,4
9425600,2016-06-29T19:00:00-0400,Demi Lovato and Nick Jonas,Philips Arena,46.86,1749.0,182,780.0,Atlanta,GA,Ticketmaster,$29.95,0,976211,108
9426889,2016-03-14T19:00:00-0400,Coheed and Cambria,The Tabernacle Atlanta,70.82,99.0,8,39.0,Atlanta,GA,Live Nation,NoPriceClass,0,200900,1
9428103,2016-04-08T20:30:00-0400,They Might Be Giants,Variety Playhouse,60.32,1112.0,13,73.0,Atlanta,GA,Ticketmaster,$25.00,0,242200,26
9432150,2016-05-04T19:00:00-0400,Prong,Masquerade Atlanta,48.37,70.0,4,18.0,Atlanta,GA,Ticketmaster,$16.00,0,149100,52
9441117,2016-03-26T19:00:00-0400,Skizzy Mars,Masquerade Atlanta,29.62,999.0,16,59.0,Atlanta,GA,Ticketmaster,$14.00,0,4516073,13
9443419,2016-12-19T20:00:00-0400,V103 40th Anniversary Winterfest Concert,Philips Arena,182.25,165.0,2,8.0,Atlanta,GA,NoResults,NoResults,NoResults,NoResults,281
9443710,2016-06-24T19:00:00-0400,The Cure,Lakewood Amphitheatre,37.88,1899.0,242,1421.0,Atlanta,GA,Live Nation,NoPriceClass,0,474439,103
9445426,2016-04-12T19:30:00-0400,Justin Bieber,Philips Arena,214.9,3500.0,289,926.0,Atlanta,GA,Ticketmaster,$50.50,0,2596951,30
9451285,2016-03-23T19:30:00-0400,Joe Satriani,Symphony Hall Atlanta,43.01,11484.0,6,33.0,Atlanta,GA,Ticketmaster,$29.50,0,217121,10
9452596,2016-04-01T20:30:00-0400,Daughter,Terminal West,42.58,65.0,13,34.0,Atlanta,GA,Ticketfly,$20.00,1,201667,19
9455706,2016-04-13T19:30:00-0400,Justin Bieber,Philips Arena,209.0,5500.0,231,876.0,Atlanta,GA,Ticketmaster,$50.50,0,2596951,31
9459675,2016-04-16T20:00:00-0400,Jethro Tull - Written and Performed by Ian Anderson,Fox Theatre Atlanta,64.25,395.0,35,142.0,Atlanta,GA,NoResults,NoResults,NoResults,NoResults,34
