event_id,date,artist,venue,min_price,max_price,total_postings,total_tickets,city,state,ticket_vendor,face_value,sold_out,sk_artist_id,days_to_show
9463287,2016-04-12T20:00:00-0500,Savages,Emos,41.25,53.58,3,18.0,Austin,TX,Front Gate Tickets,$20.00,0,242996,30
9465864,2016-03-25T19:00:00-0500,Logic,Stubbs BarBQ,71.35,1999.9,28,141.0,Austin,TX,NoResults,NoResults,NoResults,NoResults,12
9469922,2016-05-05T20:00:00-0500,The 1975,Austin360 Amphitheater,60.3,312.12,86,341.0,Austin,TX,Ticketmaster,$29.50,0,66370,53
9472385,2016-03-24T19:00:00-0500,Ben Rector,Stubbs BarBQ,40.86,78.0,8,31.0,Austin,TX,NoResults,NoResults,NoResults,NoResults,11
9474198,2016-04-02T20:00:00-0500,Yonder Mountain String Band,Stubbs BarBQ,80.91,74.0,2,16.0,Austin,TX,NoVendorClass,NoPriceClass,NoSoldOutClass,58290,20
9474277,2016-04-22T19:00:00-0500,Duran Duran,Austin360 Amphitheater,34.75,479.0,121,478.0,Austin,TX,Ticketmaster,$29.95,0,427500,40
9475584,2016-04-07T20:00:00-0500,Melanie Martinez,Emos,112.82,135.0,9,42.0,Austin,TX,NoVendorClass,NoPriceClass,NoSoldOutClass,6647159,25
9475711,2016-05-02T19:00:00-0500,Lauryn Hill,Stubbs BarBQ,97.15,125.0,10,53.0,Austin,TX,NoResults,NoResults,NoResults,NoResults,50
9476281,2016-04-15T20:00:00-0500,Ben Folds,Bass Concert Hall,67.4,145.0,37,123.0,Austin,TX,NoVendorClass,NoPriceClass,NoSoldOutClass,125822,33
9476690,2016-04-21T20:00:00-0500,Herbie Hancock,Bass Concert Hall,72.12,281.75,8,28.0,Austin,TX,NoVendorClass,NoPriceClass,NoSoldOutClass,224916,39
9478057,2016-05-19T18:00:00-0500,Leon Bridges with Andra Day,Stubbs BarBQ,122.07,160.0,7,33.0,Austin,TX,NoResults,NoResults,NoResults,NoResults,67
9478465,2016-11-04T19:30:00-0500,Adele,Frank Erwin Events Center,12513.25,10600.0,1,2.0,Austin,TX,NoVendorClass,NoPriceClass,NoSoldOutClass,537914,236
9483192,2016-04-29T19:30:00-0500,Blue October,Stubbs BarBQ,67.27,115.0,18,78.0,Austin,TX,ShowClix,$50.00,0,500273,47
9483228,2016-04-15T20:00:00-0500,Eric Church,ACL Live at The Moody Theater,356.5,660.0,12,26.0,Austin,TX,Ticketfly,$42.00,1,61270,33
9486781,2016-04-01T20:00:00-0500,Tech N9ne,Emos,44.0,73.0,7,28.0,Austin,TX,NoVendorClass,NoPriceClass,NoSoldOutClass,283009,19
9490438,2016-04-02T21:00:00-0500,Jauz,Emos,46.86,99.99,8,49.0,Austin,TX,NoVendorClass,NoPriceClass,NoSoldOutClass,8395978,20
9491435,2016-04-08T19:00:00-0500,Dr. Dog and Shakey Graves,Stubbs BarBQ,46.47,89.0,19,99.0,Austin,TX,NoResults,NoResults,NoResults,NoResults,26
9491436,2016-04-09T19:00:00-0500,Dr. Dog and Shakey Graves,Stubbs BarBQ,55.99,99.0,12,66.0,Austin,TX,NoResults,NoResults,NoResults,NoResults,27
9491847,2016-04-05T17:30:00-0500,Between the Buried and Me & August Burns Red,Emos,50.34,90.0,8,42.0,Austin,TX,NoVendorClass,NoPriceClass,NoSoldOutClass,391106,23
9500569,2016-05-19T19:30:00-0500,Florence and the Machine,Austin360 Amphitheater,39.46,600.0,250,984.0,Austin,TX,Ticketmaster,$30.50,0,595947,67
9500865,2016-04-30T13:00:00-0500,"iHeartRadio Country Music Festival with Florida Georgia Line, Miranda Lambert and more",Frank Erwin Events Center,60.32,1669.22,122,473.0,Austin,TX,NoResults,NoResults,NoResults,NoResults,48
9501324,2016-04-10T19:00:00-0500,M83,Stubbs BarBQ,61.5,299.0,46,242.0,Austin,TX,NoResults,NoResults,NoResults,NoResults,28
9501834,2016-04-11T20:00:00-0500,Beach House,ACL Live at The Moody Theater,56.78,8000.0,62,229.0,Austin,TX,Ticketfly,$29.50,0,273059,29
9502344,2016-04-19T19:00:00-0500,Charlie Puth,Emos,14.76,1111.11,47,252.0,Austin,TX,NoVendorClass,NoPriceClass,NoSoldOutClass,5318433,37
9503052,2016-03-20T20:00:00-0500,Robert Plant & The Sensational Space Shifters,ACL Live at The Moody Theater,155.9,371.0,30,78.0,Austin,TX,Ticketfly,$51.00,0,39257,7
9503186,2016-03-26T20:00:00-0500,Jerry Jeff Walker 2016 Texas Bash,Paramount Theatre Austin,140.95,218.5,7,21.0,Austin,TX,NoResults,NoResults,NoResults,NoResults,13
9503505,2016-04-25T19:00:00-0500,Ghost,Emos,50.67,60.42,3,9.0,Austin,TX,NoVendorClass,NoPriceClass,NoSoldOutClass,186546,43
9503506,2016-05-28T18:30:00-0500,Say Anything,Scoot Inn,96.87,79.99,2,12.0,Austin,TX,NoVendorClass,NoPriceClass,NoSoldOutClass,235557,76
9506341,2016-03-28T17:30:00-0500,Daughter,Mohawk,37.43,299.0,15,49.0,Austin,TX,NoVendorClass,NoPriceClass,NoSoldOutClass,201667,15
9507665,2016-06-19T20:00:00-0500,The Avett Brothers,ACL Live at The Moody Theater,108.7,500.0,94,294.0,Austin,TX,Ticketfly,$65.00,1,348455,98
9508120,2016-06-07T18:30:00-0500,Thrice,Emos,42.61,199.99,24,96.0,Austin,TX,NoVendorClass,NoPriceClass,NoSoldOutClass,498261,86
9508179,2016-04-27T19:00:00-0500,CHVRCHES,Stubbs BarBQ,24.74,400.0,84,484.0,Austin,TX,NoVendorClass,NoPriceClass,NoSoldOutClass,5933069,45
9508375,2016-04-16T19:00:00-0500,William Singe,Emos,10.39,1111.0,42,244.0,Austin,TX,NoVendorClass,NoPriceClass,NoSoldOutClass,8654944,34
9509059,2016-04-15T20:00:00-0500,Kurt Vile and the Violators,Stubbs BarBQ,50.08,68.4,10,41.0,Austin,TX,NoResults,NoResults,NoResults,NoResults,33
9509130,2016-04-01T19:00:00-0500,Hippie Sabotage,The Parish,60.71,199.5,8,38.0,Austin,TX,NoVendorClass,NoPriceClass,NoSoldOutClass,8507413,19
9509164,2016-08-11T20:00:00-0500,Frankie Valli and the Four Seasons,Bass Concert Hall,96.9,338.0,30,116.0,Austin,TX,Venue Website,NoPriceClass,0,30108,151
9509201,2016-08-13T19:00:00-0500,Hank Williams Jr and Chris Stapleton,Austin360 Amphitheater,82.74,9999.0,441,1476.0,Austin,TX,Ticketmaster,$29.50,0,336551,153
9509251,2016-06-21T20:00:00-0500,Gordon Lightfoot,ACL Live at The Moody Theater,137.82,273.9,26,69.0,Austin,TX,Ticketfly,$29.00,0,496846,100
9509292,2016-06-18T19:00:00-0500,Darius Rucker,Austin360 Amphitheater,59.73,442.0,42,189.0,Austin,TX,NoVendorClass,NoPriceClass,NoSoldOutClass,22690,97
9509410,2016-04-28T19:00:00-0500,CHVRCHES,Stubbs BarBQ,82.74,100.0,7,43.0,Austin,TX,NoVendorClass,NoPriceClass,NoSoldOutClass,5933069,46
9509879,2016-05-06T20:00:00-0500,Flatbush Zombies,Emos,45.03,63.84,3,12.0,Austin,TX,NoVendorClass,NoPriceClass,NoSoldOutClass,5081903,54
9509917,2016-05-05T20:00:00-0500,Graham Nash,Paramount Theatre Austin,111.45,238.0,7,22.0,Austin,TX,Official Artist VIP,$175.00,0,193597,53
9509919,2017-03-05T20:00:00-0500,Randy Newman,Paramount Theatre Austin,97.29,78.0,2,7.0,Austin,TX,NoVendorClass,NoPriceClass,NoSoldOutClass,291304,357
9509921,2016-04-09T20:00:00-0500,Rita Wilson,Stateside at The Paramount Theatre Austin,63.07,75.0,2,8.0,Austin,TX,NoVendorClass,NoPriceClass,NoSoldOutClass,5271843,27
